City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
tolaga bay,NZ,1643912996,-38.3667,178.3,59.5,85,23,4.61
richards bay,ZA,1643912997,-28.783,32.0377,79.38,88,2,7.38
corner brook,CA,1643912997,48.9667,-57.9484,39.36,98,100,11.79
luziania,BR,1643912998,-16.2525,-47.9503,83.89,61,75,5.48
kirovsk,UA,1643912999,48.6375,38.6428,31.91,99,100,6.62
karasburg,NA,1643912999,-28.0167,18.75,80.94,27,11,11.92
epe,NG,1643913000,6.5841,3.9834,81.19,68,98,7.81
touros,BR,1643913001,-5.1989,-35.4608,86.9,67,69,14.61
thompson,CA,1643912930,55.7435,-97.8558,-16.44,63,40,8.05
turinsk,RU,1643913002,58.0458,63.696,25.72,96,100,9.53
coquimbo,CL,1643913002,-29.9533,-71.3436,68.76,69,14,8.46
komsomolskiy,UZ,1643913003,40.4272,71.7189,35.02,86,6,6.91
clyde river,CA,1643913004,70.4692,-68.5914,-12.77,77,100,27.63
acajutla,SV,1643913004,13.5928,-89.8275,95.34,58,2,10.09
ancud,CL,1643913005,-41.8697,-73.8203,65.73,87,73,6.15
sao joao da barra,BR,1643912981,-21.6403,-41.0511,80.69,88,95,11.5
owando,CG,1643913006,-0.4819,15.8999,77.54,67,49,3.4
cockburn town,TC,1643913006,21.4612,-71.1419,75.16,76,25,24.29
kedrovyy,RU,1643913006,56.1667,91.8167,-6.14,98,85,4.12
kajaani,FI,1643913007,64.2273,27.7285,-12.95,84,100,1.14
north bend,US,1643913007,43.4065,-124.2243,46.85,96,0,6.91
laje,BR,1643913008,-10.1833,-40.9667,91.18,29,81,7.52
xiaoweizhai,CN,1643913009,26.1903,107.5125,36.5,86,100,5.23
ostrovnoy,RU,1643913009,68.0531,39.5131,12.79,81,100,0.89
churapcha,RU,1643913010,62.0025,132.4325,-22.54,100,100,3.69
aasiaat,GL,1643913010,68.7098,-52.8699,9.45,86,100,9.17
makakilo city,US,1643913011,21.3469,-158.0858,73.29,69,0,4.61
mount gambier,AU,1643912967,-37.8333,140.7667,57.11,67,100,6.91
omboue,GA,1643913011,-1.5746,9.2618,77.32,83,93,4.63
veraval,IN,1643913012,20.9,70.3667,67.59,53,0,11.54
lao cai,VN,1643913012,22.4833,103.95,53.85,93,92,1.14
senanga,ZM,1643913013,-16.1167,23.2667,66.27,97,100,5.95
develi,TR,1643913013,38.3906,35.4922,38.55,93,100,6.6
haines junction,CA,1643913014,60.7522,-137.5108,-7.65,71,100,0.0
hackettstown,US,1643913014,40.854,-74.8291,43.29,95,100,0.0
vila velha,BR,1643912879,-20.3297,-40.2925,77.95,89,75,1.99
port augusta,AU,1643913015,-32.5,137.7667,60.94,58,0,7.05
karangasem,ID,1643913016,-8.45,115.6167,77.88,75,100,4.83
twin falls,US,1643913016,42.3505,-114.6445,19.92,86,100,0.0
ishigaki,JP,1643913017,24.3448,124.1572,69.73,74,82,18.63
buraydah,SA,1643913017,26.326,43.975,68.45,30,0,10.02
ambatondrazaka,MG,1643913018,-17.8333,48.4167,64.56,93,100,4.54
mandali,IQ,1643913018,33.7499,45.5541,58.39,38,100,14.16
hambantota,LK,1643913019,6.1241,81.1185,75.54,100,20,4.61
skibbereen,IE,1643913019,51.55,-9.2667,52.11,87,100,24.61
tactic,GT,1643913020,15.3333,-90.3,72.0,41,20,4.61
codrington,AU,1643913021,-38.2667,141.9667,59.16,70,100,12.35
kaeo,NZ,1643913021,-35.1,173.7833,70.32,92,77,10.33
waipawa,NZ,1643913022,-41.4122,175.5153,66.83,70,20,7.23
udachnyy,RU,1643913022,66.4167,112.4,-24.48,99,100,1.97
lasa,IT,1643913023,46.6166,10.7002,40.46,82,97,3.15
kruisfontein,ZA,1643913023,-34.0033,24.7314,65.88,75,75,15.59
taybad,IR,1643913024,34.74,60.7756,44.17,46,1,1.81
urusha,RU,1643913024,54.05,122.9,-11.45,85,16,4.72
saint-pierre,RE,1643913025,-21.3393,55.4781,80.24,94,75,37.98
constitucion,CL,1643913025,-35.3333,-72.4167,67.86,66,10,7.78
alofi,NU,1643912905,-19.0595,-169.9187,75.09,94,95,2.3
yulara,AU,1643913026,-25.2406,130.9889,62.44,59,81,8.05
tanete,ID,1643913027,-3.9443,119.7848,75.78,89,100,3.18
gwadar,PK,1643913027,25.1216,62.3254,69.55,51,0,10.85
pisco,PE,1643913028,-13.7,-76.2167,74.01,78,0,8.05
tecoanapa,MX,1643913029,16.5167,-98.75,81.12,60,0,10.29
marsaxlokk,MT,1643913029,35.8419,14.5431,59.07,58,0,17.27
husavik,IS,1643913030,66.0449,-17.3389,17.51,92,100,21.12
half moon bay,US,1643913018,37.4636,-122.4286,60.96,63,0,8.05
sabang,ID,1643913030,5.8933,95.3214,80.56,77,42,2.19
nantucket,US,1643913031,41.2835,-70.0995,48.31,93,100,5.75
fortuna,US,1643912910,40.5982,-124.1573,49.93,82,75,1.99
sinop,TR,1643913031,41.7711,34.8709,37.09,99,100,4.7
jalu,LY,1643913032,29.0331,21.5482,54.01,62,14,17.09
hohhot,CN,1643913033,40.8106,111.6522,3.49,55,0,2.24
bambanglipuro,ID,1643913033,-7.95,110.2833,64.6,85,90,3.62
pandharpur,IN,1643913034,17.6667,75.3333,70.52,41,32,9.44
ternate,ID,1643913034,0.8,127.4,78.98,82,100,5.17
nouadhibou,MR,1643913035,20.931,-17.0347,85.98,17,0,8.05
saint stephen,GB,1643913035,50.3333,-4.9,49.75,87,40,10.36
nouakchott,MR,1643913036,18.0858,-15.9785,89.53,21,0,11.61
cururupu,BR,1643913037,-1.8283,-44.8683,83.35,70,88,6.49
mehamn,NO,1643913037,71.0357,27.8492,24.98,93,75,9.22
jeremie,HT,1643913037,18.65,-74.1167,78.96,75,27,4.92
grand baie,MU,1643912839,-20.0182,57.5802,81.07,86,100,15.99
aykhal,RU,1643913038,66.0,111.5,-21.05,100,100,2.19
esperance,AU,1643913039,-33.8667,121.9,62.44,77,0,16.28
salamiyah,SY,1643913039,35.0113,37.0532,48.92,71,86,3.36
kamenka,RU,1643913040,51.3223,42.7678,32.76,100,100,5.66
havelock,US,1643913041,34.8791,-76.9013,73.35,71,100,10.0
la rioja,ES,1643913041,42.25,-2.5,49.32,58,100,2.39
fort-shevchenko,KZ,1643913042,44.5086,50.263,44.8,89,11,21.36
rogers,US,1643913043,36.3668,-95.5836,19.92,80,100,8.01
